Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,140.50,142.800003,139.570007,141.880005,4079300,141.880005
2015-10-26,144.75,145.00,137.330002,140.080002,6907700,140.080002
2015-10-19,149.850006,149.970001,139.300003,144.679993,8077700,144.679993
2015-10-12,152.399994,152.580002,148.580002,150.389999,3466600,150.389999
2015-10-05,145.820007,153.149994,145.820007,152.389999,3834300,152.389999
2015-09-28,144.419998,145.710007,140.559998,144.580002,3958900,144.580002
2015-09-21,145.389999,146.979996,141.949997,145.419998,3225400,145.419998
2015-09-14,147.369995,149.679993,143.979996,144.509995,4085200,144.509995
2015-09-08,145.860001,149.039993,144.509995,147.369995,3458800,147.369995
2015-08-31,147.380005,148.399994,141.850006,143.699997,4270400,143.699997
2015-08-24,143.470001,148.970001,140.619995,147.979996,6386400,147.979996
2015-08-17,155.199997,156.690002,148.699997,148.850006,3937400,148.850006
2015-08-10,156.770004,157.470001,153.949997,155.75,3405300,155.75
2015-08-03,161.699997,161.850006,154.339996,155.119995,4026500,155.119995
2015-07-27,159.00,162.059998,158.50,161.990005,3076100,160.656326
2015-07-20,172.789993,173.779999,159.410004,159.75,7424800,158.434769
2015-07-13,167.929993,172.520004,167.520004,172.509995,3427700,171.089706
2015-07-06,163.830002,167.399994,162.229996,166.949997,3628800,165.575485
2015-06-29,163.919998,165.610001,162.119995,165.089996,3244800,163.730804
2015-06-22,167.649994,169.970001,165.229996,165.460007,4188000,164.097763
2015-06-15,166.990005,168.720001,164.25,166.990005,4152600,165.615158
2015-06-08,167.169998,170.440002,163.369995,166.990005,3672800,165.615158
2015-06-01,170.210007,171.559998,167.199997,167.399994,2773500,166.021774
2015-05-26,172.110001,172.479996,169.130005,169.649994,3110500,168.25325
2015-05-18,173.440002,174.440002,171.929993,172.220001,2387800,170.802109
2015-05-11,172.649994,174.410004,168.839996,173.259995,2687300,171.833527
2015-05-04,174.470001,176.300003,168.860001,172.679993,3359700,171.258301
2015-04-27,170.889999,175.130005,170.020004,173.669998,4375700,170.946472
2015-04-20,162.100006,171.910004,161.899994,169.779999,7088300,167.117477
2015-04-13,162.369995,164.960007,160.029999,160.669998,3507600,158.15033
2015-04-06,159.690002,163.839996,158.699997,162.860001,2783400,160.306
2015-03-30,161.309998,163.600006,158.389999,160.449997,4191400,157.933792
2015-03-23,162.770004,165.350006,158.910004,160.399994,4715800,157.884567
2015-03-16,155.050003,163.00,154.800003,162.880005,5137000,160.325684
2015-03-09,158.199997,161.149994,153.399994,154.279999,5227200,151.86055
2015-03-02,161.940002,161.940002,158.059998,158.50,4223500,156.014374
2015-02-23,164.229996,164.990005,159.770004,161.940002,4588200,159.400421
2015-02-17,159.75,164.490005,159.729996,163.649994,3527500,161.083603
2015-02-09,156.00,160.800003,155.080002,160.399994,3633000,157.884567
2015-02-02,154.00,158.710007,151.509995,156.720001,4481700,154.262283
2015-01-26,158.259995,159.460007,149.520004,153.309998,6585600,149.854553
2015-01-20,156.699997,157.600006,151.070007,155.869995,7811200,152.356842
2015-01-12,159.00,159.970001,153.740005,157.139999,4651000,153.598221
2015-01-05,161.270004,161.270004,154.029999,159.110001,4890100,155.523834
2014-12-29,162.00,163.309998,159.449997,162.059998,3924700,158.407333
2014-12-22,158.330002,163.089996,158.330002,162.339996,3126500,158.681015
2014-12-15,155.929993,160.410004,150.50,158.509995,6916200,154.937347
2014-12-08,163.289993,163.330002,155.330002,155.380005,4677200,151.877899
2014-12-01,161.639999,164.520004,161.350006,163.270004,4186900,159.590073
2014-11-24,161.539993,163.860001,161.009995,162.169998,4263000,158.514862
2014-11-17,164.160004,164.970001,159.800003,160.919998,4454000,157.29303
2014-11-10,161.899994,164.490005,161.610001,164.160004,4017200,160.460007
2014-11-03,164.25,164.539993,160.050003,162.070007,4120400,158.417114
2014-10-27,162.00,165.589996,161.800003,164.399994,5467500,159.602249
2014-10-20,166.850006,170.330002,161.100006,162.080002,13940500,157.34996
2014-10-13,185.490005,186.649994,178.690002,182.050003,4869200,176.737167
2014-10-06,189.690002,190.889999,185.100006,185.929993,3158200,180.503922
2014-09-29,188.509995,190.850006,186.240005,188.669998,2869300,183.163971
2014-09-22,193.720001,194.139999,188.610001,190.059998,3269500,184.513397
2014-09-15,191.419998,195.00,190.580002,194.00,4008800,188.338425
2014-09-08,190.75,192.779999,189.509995,191.279999,2578200,185.6978
2014-09-02,192.679993,192.970001,190.059998,191.199997,2406900,185.620132
