Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,711.059998,721.619995,705.849976,721.109985,1871100,721.109985
2015-10-26,701.549988,719.150024,701.26001,710.809998,2092100,710.809998
2015-10-19,661.179993,730.00,641.72998,702.00,3234100,702.00
2015-10-12,642.090027,664.969971,639.01001,662.200012,1582900,662.200012
2015-10-05,632.00,650.609009,625.559998,643.609985,1992700,643.609985
2015-09-28,610.340027,627.340027,589.380005,626.909973,2480600,626.909973
2015-09-21,634.400024,636.48999,611.00,611.969971,2047200,611.969971
2015-09-14,625.700012,650.900024,619.429993,629.25,2496200,629.25
2015-09-08,612.48999,626.52002,604.119995,625.77002,1815100,625.77002
2015-08-31,627.539978,635.799988,594.099976,600.700012,2460600,600.700012
2015-08-24,573.00,643.590027,565.049988,630.380005,3802800,630.380005
2015-08-17,656.799988,667.00,612.330017,612.47998,2352400,612.47998
2015-08-10,639.47998,674.900024,631.249023,657.119995,2531500,657.119995
2015-08-03,625.340027,647.859985,625.340027,635.299988,1621200,635.299988
2015-07-27,621.00,635.219971,620.50,625.609985,1831600,625.609985
2015-07-20,659.23999,678.640015,622.52002,623.559998,3964400,623.559998
2015-07-13,532.880005,674.468018,532.400024,672.929993,4633600,672.929993
2015-07-06,519.50,532.559998,515.179993,530.130005,1594600,530.130005
2015-06-29,525.01001,528.609985,518.22998,523.400024,1842500,523.400024
2015-06-22,539.590027,543.73999,531.349976,531.690002,1435800,531.690002
2015-06-15,528.00,538.25,524.00,536.690002,1545000,536.690002
2015-06-08,533.309998,538.97998,523.01001,532.330017,1392800,532.330017
2015-06-01,536.789978,543.50,529.76001,533.330017,1659300,533.330017
2015-05-26,538.119995,540.609985,529.880005,532.109985,1889600,532.109985
2015-05-18,532.01001,544.190002,528.849976,540.109985,1608000,540.109985
2015-05-11,538.369995,541.97998,525.26001,533.849976,1433400,533.849976
2015-05-04,538.530029,544.070007,521.085022,538.219971,1466400,538.219971
2015-04-27,563.390015,565.950012,532.099976,537.900024,1887600,537.900024
2015-04-20,525.602356,571.142578,524.50238,565.062561,2847000,565.062561
2015-04-13,538.412415,544.062439,521.01239,524.052368,2002400,524.052368
2015-04-06,532.222351,543.852417,529.572388,540.012451,1354600,540.012451
2015-03-30,551.622498,554.712524,533.849365,535.532471,1638700,535.532471
2015-03-23,560.432556,574.59259,548.132446,548.342529,1969900,548.342529
2015-03-16,550.952515,561.722534,546.002502,560.362549,1879000,560.362549
2015-03-09,566.862549,570.272583,544.222473,547.32251,1553600,547.32251
2015-03-02,560.532532,577.912598,558.752502,567.687561,1751900,567.687561
2015-02-23,536.052368,564.712585,528.25238,558.402588,1802100,558.402588
2015-02-17,546.83252,550.002441,535.802429,538.952454,1375800,538.952454
2015-02-09,528.00238,549.912476,526.0224,549.012512,1583200,549.012512
2015-02-02,531.732361,537.202454,518.552307,531.002441,2030200,531.002441
