Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,104.875,112.50,95.00,99.50,152760100,3.322945
2000-01-10,102.00,102.25,86.50,100.4375,167287100,3.354254
2000-01-18,101.00,121.50,100.4375,111.3125,211492400,3.717441
2000-01-24,108.4375,114.1875,100.625,101.625,103433600,3.393913
2000-01-31,101.00,110.00,94.50,108.00,119221200,3.606815
2000-02-07,108.00,117.125,105.9375,108.75,83215400,3.631862
2000-02-14,109.3125,119.9375,108.625,111.25,87723400,3.715353
2000-02-22,110.125,119.125,106.6875,110.375,95060700,3.686132
2000-02-28,110.125,132.0625,108.375,128.00,120445900,4.274744
2000-03-06,126.00,129.125,118.25,125.749992,64006300,4.199602
2000-03-13,122.125,126.50,114.000008,125.00,92964400,4.174554
2000-03-20,123.50,150.375,121.625,138.6875,115314600,4.631668
2000-03-27,137.625,144.75,125.4375,135.8125,77050900,4.535653
2000-04-03,135.50,139.50,116.75,131.75,97431000,4.399981
2000-04-10,131.6875,132.75,104.875,111.875,144633400,3.736226
2000-04-17,109.50,130.25,109.0625,118.875,127672300,3.970001
2000-04-24,115.00,128.75,114.75,124.062508,88917900,4.143246
2000-05-01,124.874992,126.250008,110.5625,113.125008,81800800,3.777972
2000-05-08,112.093704,113.6875,98.75,107.625,92689500,3.594291
2000-05-15,108.0625,109.0625,93.375,94.00,131596000,3.139265
2000-05-22,93.75,93.75,83.00,86.375,126972700,2.884617
2000-05-30,87.625,99.75,80.375,92.5625,177703400,3.091258
2000-06-05,93.3125,98.50,89.6875,95.75,83852700,3.197709
2000-06-12,96.375,96.4375,88.1875,91.1875,73568800,3.045337
2000-06-19,90.5625,103.9375,50.3125,51.6875,102903600,3.452357
2000-06-26,52.50,55.50,51.0625,52.375,60100600,3.498277
2000-07-03,52.125,55.1875,49.625,54.4375,56824600,3.636037
2000-07-10,54.0937,60.625,53.75,57.6875,80853000,3.853114
2000-07-17,58.25,58.875,51.75,53.5625,84904400,3.577593
2000-07-24,52.5625,53.25,46.875,48.3125,68356400,3.226931
2000-07-31,49.156197,51.625,44.25,47.375,52897800,3.164312
2000-08-07,47.875,49.0625,45.5625,47.6875,61671600,3.185185
2000-08-14,47.5937,52.4375,46.3125,50.00,43780500,3.339643
2000-08-21,50.25,57.50,49.625,56.8125,64667900,3.79467
2000-08-28,57.25,63.625,57.0625,63.4375,79394800,4.237173
2000-09-05,62.6562,64.125,57.75,58.875,66689300,3.93243
2000-09-11,58.6875,60.375,54.25,55.234303,75121400,3.689258
2000-09-18,55.25,61.4375,50.00,52.1875,108031200,3.485753
2000-09-25,52.75,55.50,25.375,25.75,476498600,1.719916
2000-10-02,26.6875,26.75,21.00,22.1875,370729800,1.481967
2000-10-09,22.625,22.875,19.125,22.0625,246295200,1.473618
2000-10-16,22.3125,23.25,18.3125,19.50,227707400,1.302461
2000-10-23,20.2656,20.875,17.50,18.5625,174303300,1.239843
2000-10-30,19.125,23.00,18.75,22.25,160347600,1.486141
2000-11-06,22.4375,22.625,19.0625,19.0625,100830800,1.273239
2000-11-13,18.75,20.50,18.25,18.50,90436300,1.235668
2000-11-20,18.5937,19.50,18.25,19.3125,71967700,1.289937
2000-11-27,19.875,19.9375,16.125,17.0625,110768500,1.139653
2000-12-04,17.1875,17.4375,14.00,15.062499,160225200,1.006068
2000-12-11,15.1875,16.00,14.00,14.0625,92046000,0.939275
2000-12-18,14.5625,15.25,13.625,15.00,97502100,1.001893
2000-12-26,14.875,15.00,14.187499,14.875,92362200,0.993544
2001-01-02,14.875,18.50,14.4375,16.375,151321100,1.093733
2001-01-08,16.9375,18.50,15.937499,17.1875,138526000,1.148002
2001-01-16,17.4375,19.5625,16.50,19.50,196916600,1.302461
2001-01-22,19.0625,20.9375,18.4375,19.5625,154423900,1.306636
2001-01-29,19.5625,22.50,19.5625,20.625,153784600,1.377603
2001-02-05,20.50,21.3906,18.6875,19.125,116846200,1.277414
2001-02-12,19.0625,20.5625,18.50,19.00,69781800,1.269065
2001-02-20,19.1875,19.9375,18.00,18.8125,89436200,1.256541
2001-02-26,19.0625,20.4375,17.1875,19.25,89992500,1.285763
2001-03-05,19.375,22.0625,19.25,20.25,98975500,1.352556
2001-03-12,19.6875,21.375,18.125,19.625,115587900,1.31081
2001-03-19,19.75,23.5625,19.375,23.00,144739000,1.536236
2001-03-26,23.130001,23.75,21.129999,22.07,143817500,1.474119
2001-04-02,22.09,22.66,18.75,20.59,108336700,1.375265
2001-04-09,20.689999,23.02,20.059999,22.42,84811600,1.497496
2001-04-16,22.09,25.75,19.60,25.040001,231917000,1.672494
2001-04-23,24.34,26.289999,23.51,26.200001,125107600,1.749973
2001-04-30,26.700001,27.119999,23.959999,25.75,93657400,1.719916
2001-05-07,25.620001,25.76,22.76,22.85,70444900,1.526217
2001-05-14,22.889999,25.50,22.75,23.529999,67987300,1.571636
2001-05-21,23.630001,24.129999,22.50,22.76,79272700,1.520206
2001-05-29,22.32,22.50,19.299999,20.890001,137002200,1.395303
2001-06-04,21.08,21.699999,20.33,21.32,82234800,1.424024
2001-06-11,21.049999,21.73,19.35,20.440001,93062700,1.365246
2001-06-18,20.41,23.00,19.98,22.26,86298800,1.486809
2001-06-25,22.50,25.10,22.450001,23.25,97513000,1.552934
2001-07-02,23.639999,24.23,21.719999,22.030001,49862700,1.471447
2001-07-09,22.09,25.01,20.84,24.85,113639400,1.659803
2001-07-16,24.880001,25.219999,19.49,19.98,168461700,1.334522
2001-07-23,20.09,20.50,17.85,18.959999,86844500,1.266393
2001-07-30,19.120001,19.90,18.51,19.50,61033200,1.302461
2001-08-06,19.040001,19.700001,18.540001,19.02,46599800,1.2704
2001-08-13,19.10,19.359999,17.970001,18.07,58137200,1.206947
2001-08-20,18.139999,18.620001,17.58,18.57,55969400,1.240344
2001-08-27,18.60,19.299999,17.280001,18.550001,58647400,1.239008
2001-09-04,18.50,19.08,17.200001,17.280001,77029400,1.154181
2001-09-10,17.00,17.719999,14.68,15.73,102040100,1.050652
2001-09-24,16.110001,16.84,14.929999,15.509999,92504400,1.035957
2001-10-01,15.490001,16.25,14.830001,16.140001,93547100,1.078037
2001-10-08,15.57,18.08,15.499999,18.01,65587200,1.20294
2001-10-15,17.950001,18.41,16.959999,18.299999,79330100,1.22231
2001-10-22,18.209999,19.42,17.75,18.67,99263000,1.247023
2001-10-29,18.57,18.859999,17.059999,18.57,64994700,1.240344
2001-11-05,18.84,20.130001,18.530001,18.709999,70561900,1.249695
2001-11-12,18.66,19.90,17.960001,18.970001,54550700,1.267061
2001-11-19,19.00,20.200001,18.959999,19.84,54422500,1.325171
2001-11-26,19.940001,21.549999,19.879999,21.299999,74326500,1.422688
2001-12-03,21.059999,24.029999,20.599998,22.540001,83630600,1.505511
2001-12-10,22.289999,22.99,20.09,20.389999,47783600,1.361907
2001-12-17,20.40,21.68,20.190001,21.00,58805300,1.40265
2001-12-24,20.90,23.00,20.90,22.43,42978900,1.498164
2001-12-31,22.51,23.950001,21.83,23.690001,105578900,1.582323
2002-01-07,23.720001,24.00,20.25,21.049999,101199800,1.40599
2002-01-14,21.01,22.74,20.50,22.17,113629800,1.480798
2002-01-22,22.27,23.51,21.59,23.25,81281900,1.552934
2002-01-28,23.40,24.960001,22.719999,24.41,88254800,1.630414
2002-02-04,24.32,25.98,23.369999,24.029999,114000000,1.605033
2002-02-11,23.93,25.24,23.74,23.90,72805600,1.59635
2002-02-19,23.76,23.870001,21.450001,22.74,95558000,1.51887
2002-02-25,22.85,24.719999,20.940001,23.449999,126153400,1.566293
2002-03-04,23.26,25.09,22.76,24.66,68859500,1.647112
2002-03-11,24.60,25.139999,23.870001,24.950001,58790200,1.666482
2002-03-18,24.950001,25.299999,23.26,24.09,82988300,1.60904
2002-03-25,24.07,24.09,23.00,23.67,47301800,1.580987
2002-04-01,23.379999,25.190001,23.280001,24.74,61710800,1.652456
2002-04-08,24.16,25.199999,23.780001,25.059999,70276000,1.673829
2002-04-15,25.059999,26.17,24.799999,24.98,104365800,1.668486
2002-04-22,24.84,24.93,23.00,23.009998,57126400,1.536904
2002-04-29,23.16,24.380001,23.09,23.51,61904000,1.5703
2002-05-06,23.35,24.52,22.139999,23.32,69455400,1.55761
2002-05-13,23.519999,25.98,22.939999,25.01,79574300,1.67049
2002-05-20,24.57,25.24,23.32,24.15,68867600,1.613048
2002-05-28,23.690001,24.440001,23.280001,23.299999,58336200,1.556274
